Team,Opponent,Ground,Toss,Selection,Run_Scored,Wicket_Lost,Fours,Sixes,Extras,Run_Rate,Avg_Bat_Strike_Rate,Maximum_Partnership,Wicket_Taken,Highest_Individual_wicket,Result
Pakistan,Sri Lanka,Sharjah,Lose,Batting,187,9,9,3,21,4.06,52.04,47,5,2,Lose
Sri Lanka,Pakistan,Sharjah,Win,Bowling,190,5,11,1,26,4.36,68.51,57,9,3,Win
India,Sri Lanka,Sharjah,Win,Bowling,97,0,9,0,14,4.47,60.48,51,10,3,Win
Sri Lanka,India,Sharjah,Lose,Batting,96,10,7,0,8,2.34,25.74,38,0,0,Lose
India,Pakistan,Sharjah,Win,Batting,188,4,13,3,17,4.08,60.21,56,10,3,Win
Pakistan,India,Sharjah,Lose,Bowling,134,10,5,0,5,3.37,39.46,35,4,1,Lose
Sri Lanka,Pakistan,Colombo(PSS),Win,Bowling,116,10,10,0,14,3.42,37.87,34,10,3,Lose
Pakistan,Sri Lanka,Colombo(PSS),Lose,Batting,197,10,14,3,15,4.37,65.14,39,10,3,Win
Bangladesh,Pakistan,Moratuwa,Lose,Batting,94,10,0,0,9,2.64,24.63,37,3,2,Lose
Pakistan,Bangladesh,Moratuwa,Win,Bowling,98,3,4,0,5,3.04,36.79,47,10,4,Win
Sri Lanka,Bangladesh,Kandy,Win,Bowling,132,3,0,0,19,4.19,46.07,44,8,2,Win
Bangladesh,Sri Lanka,Kandy,Lose,Batting,131,8,0,0,10,2.91,47.03,40,3,1,Lose
Sri Lanka,Pakistan,Colombo(SSC),Win,Bowling,195,5,15,1,9,4.6,62.09,57,9,4,Win
Pakistan,Sri Lanka,Colombo(SSC),Lose,Batting,191,9,11,4,14,4.24,70.13,67,5,3,Lose
Pakistan,Sri Lanka,Dhaka,Lose,Batting,194,7,5,0,7,4.4,74.43,54,5,2,Lose
Sri Lanka,Pakistan,Dhaka,Win,Bowling,195,5,10,0,18,5.02,73.08,55,7,3,Win
Bangladesh,India,Chattogram,Lose,Batting,99,8,5,0,13,2.2,36.13,22,1,1,Lose
India,Bangladesh,Chattogram,Win,Bowling,100,1,7,1,7,3.84,56.7,50,8,3,Win
India,Sri Lanka,Dhaka,Win,Bowling,254,10,14,4,5,5.77,97.52,50,6,2,Lose
Sri Lanka,India,Dhaka,Lose,Batting,271,6,12,2,13,6.02,106.61,69,10,4,Win
Bangladesh,Pakistan,Chattogram,Lose,Bowling,111,6,0,0,15,2.46,31.02,22,3,1,Lose
